timestamp,speed_mps,accel_x,accel_y,accel_z,steering_angle,radar_distance_m,latitude,longitude
7.2,19.7816,0.263219,-0.0945936,9.72161,1.83323,40.8472,42.3403,-83.0373
7.3,20.0136,0.206778,-0.0697089,9.70991,2.2611,40.8668,42.3404,-83.0372
7.4,19.8546,0.210916,-0.0776803,9.77221,2.05083,40.1347,42.3404,-83.0371
7.5,19.9491,0.15699,-0.129214,9.70479,2.2777,40.0816,42.3405,-83.037
7.6,19.9547,0.23831,-0.0904218,9.76138,2.28039,39.8086,42.3407,-83.0369
7.7,20.0253,0.276501,-0.0574404,9.70079,1.94591,40.376,42.3407,-83.0369
7.8,20.2705,0.262957,-0.0685278,9.85964,1.62,39.3423,42.3409,-83.0368
7.9,19.9883,0.125233,-0.0536805,9.84991,1.64219,39.5535,42.341,-83.0367
8,20.2747,0.118433,-0.121743,9.88168,1.50583,40.182,42.3411,-83.0366
8.1,19.8061,0.241655,-0.0850017,9.71075,1.64347,40.0155,42.3412,-83.0365
8.2,19.9989,0.279345,-0.121322,9.81132,1.8368,40.9965,42.3413,-83.0364
8.3,19.7427,0.267742,-0.0737342,9.77359,2.25201,40.0108,42.3414,-83.0363
8.4,20.1089,0.186276,-0.087553,9.72651,2.09975,40.9271,42.3415,-83.0362
8.5,19.8341,0.27398,-0.0849895,9.78534,1.92045,40.8857,42.3416,-83.0361
8.6,20.1792,0.170858,-0.0772469,9.72435,2.49442,40.8379,42.3417,-83.036
8.7,19.9625,0.284368,-0.11415,9.87453,2.37689,40.3345,42.3418,-83.0359
8.8,19.9685,0.18074,-0.0712317,9.84611,2.0584,40.5656,42.3419,-83.0358
8.9,19.9315,0.201437,-0.074366,9.87635,1.74973,39.6489,42.342,-83.0357
9,20.0943,0.104553,-0.0618625,9.80214,1.79225,40.1696,42.3421,-83.0356
9.1,20.1414,0.13122,-0.084077,9.85764,1.69288,40.9686,42.3422,-83.0355
9.2,19.7082,0.296991,-0.140527,9.89697,1.78437,39.182,42.3423,-83.0354
9.3,19.864,0.108271,-0.0544832,9.84186,1.5105,40.5304,42.3424,-83.0353
9.4,20.1708,0.103717,-0.0851115,9.75427,2.33612,39.8575,42.3425,-83.0352
9.5,19.7172,0.220652,-0.0770577,9.73411,2.28228,39.9193,42.3426,-83.0351
9.6,19.7267,0.186447,-0.147555,9.84185,2.08657,40.4234,42.3427,-83.035
9.7,19.941,0.13495,-0.111052,9.84617,1.98814,39.3178,42.3428,-83.0349
9.8,20.1793,0.247893,-0.141302,9.79663,2.1379,40.3298,42.343,-83.0348
9.9,19.8714,0.221268,-0.0709876,9.82138,1.63355,40.7557,42.343,-83.0347
